model,rmse,mae,r2,subject_rmse
LMM,0.5140631434145018,0.42320982933792667,-0.030231972554428,0.5062840670278578
AddLin,0.5143382070002405,0.4234476993692577,-0.03133477527070405,0.50715635390674
Spline,0.5071668049434794,0.4159757135631826,-0.002775534228369736,0.5008323015435879
