model,record_brier,subject_brier,record_log_loss,subject_log_loss,mean_probability,observed_rate
linear_raw,0.11539987992006542,0.11159719756457541,0.3937834955886412,0.3836139813393446,0.8609323781126268,0.865988909426987
linear_calibrated,0.1156917387860097,0.11277953038929592,0.3931580784695384,0.386106208852297,0.8708387027776088,0.865988909426987
week_spline_df3_raw,0.11493503042374419,0.11126214000605933,0.3927281340956645,0.38229782367149784,0.8596898031489021,0.865988909426987
week_spline_df3_calibrated,0.11530082759728019,0.11230848413101484,0.39125235556513027,0.383698354868563,0.8709954576167834,0.865988909426987
