fold,C,intercept,13号染色体的Z值,18号染色体的Z值,21号染色体的Z值,X染色体的Z值,X染色体浓度,总体GC含量,13号染色体的GC含量,18号染色体的GC含量,21号染色体的GC含量,在参考基因组上比对的比例,重复读段的比例,被过滤掉读段数的比例,log10原始读段数,log10唯一比对读段数,孕妇BMI,年龄
1,1.0,-0.9749899271252499,-0.24337521663496153,0.312715409293617,0.3393757365858028,-0.2659742439226825,-1.0846413307710299,-0.09518473633469948,2.019382960219843,1.2878028194024602,-3.0870940871190817,0.029397661938623792,-0.22259287347693366,0.17011139631557065,0.04018953637233875,0.0,-0.3459092145817252,-0.5591556778718569
2,0.5,-0.9006066893278258,0.029836468833566117,0.16059737582917724,0.1582650350867913,-0.2164637011761409,-1.0541214265382932,-0.28144498706226007,1.5425757043970159,0.7144161836134911,-1.9863191045631143,0.3110622648156999,-0.292369526614068,0.30271767456321297,-0.04953788950106649,-0.0,-0.34002106645112895,-0.3775121951798117
3,1.0,-0.8257454516768032,-0.34926861878080984,0.1193682068708074,0.3600158162858995,0.11571246716824873,-0.929670228781087,0.15314278817364377,1.8713742392999586,1.007242980742748,-2.6512748853111803,0.22594966636616973,-0.24941721129780856,0.3544988606095727,-0.08914854165904369,-0.0,-0.26841468002166863,-0.5910168230899236
4,0.5,-0.6628049395634158,-0.245804729705223,0.25739885165733495,0.10017164387913825,-0.18901224597121186,-0.8210263077719251,-0.0019395302781924431,1.4791317398229393,0.7683082741591768,-1.989085623022473,0.1963626469379489,-0.4267763141514625,0.31985626010016005,-0.006755489370837036,-0.0976833498290547,-0.27629223920412993,-0.3269143508883832
5,0.5,-0.7211265138651597,-0.03453327983963396,0.2146980452070176,0.05341820524227854,-0.28405202831998794,-0.8303686410403452,-0.16086420007037402,1.68719492266859,0.43389926527683975,-2.15089716737016,0.08981730488072642,-0.2622291522114632,0.1144218516983865,-0.0,-0.0,-0.23162762591219635,-0.16899064665042027
