bin_low,bin_high,rows,subjects,mean_prediction,observed_rate
0.0,0.5,438,142,0.22739149731066122,0.04794520547945205
0.5,0.7,93,68,0.5955821952846645,0.15053763440860216
0.7,0.8,30,27,0.7430459342778756,0.23333333333333334
0.8,0.9,22,20,0.8425553029964923,0.45454545454545453
0.9,0.95,11,11,0.9237744423464658,0.6363636363636364
0.95,1.0,10,9,0.9662687479900166,0.8
