fold,C,tau,auc,pr_auc,sensitivity,specificity,ppv,npv,f1,tp,fp,fn,tn
1,1.0,0.49138956181383486,0.8086253369272237,0.41126098635305264,0.8571428571428571,0.7169811320754716,0.2857142857142857,0.9743589743589743,0.42857142857142855,12,30,2,76
2,0.5,0.4829372318521884,0.7102446483180428,0.31004239268781264,0.5,0.7247706422018348,0.16666666666666666,0.9294117647058824,0.25,6,30,6,79
3,1.0,0.6769126557373307,0.7904312668463612,0.5828686122378999,0.42857142857142855,0.9433962264150944,0.5,0.9259259259259259,0.46153846153846156,6,6,8,100
4,0.5,0.6072785916898186,0.9021164021164021,0.6682161022303659,0.7857142857142857,0.8981481481481481,0.5,0.97,0.6111111111111112,11,11,3,97
5,0.5,0.4805829268149507,0.811965811965812,0.5667698495818194,0.5384615384615384,0.7870370370370371,0.23333333333333334,0.9340659340659341,0.32558139534883723,7,23,6,85
