fold,model,record_brier,subject_brier,record_log_loss,subject_log_loss,mean_probability,observed_rate
1,mixed_logistic,0.09805062320713263,0.1134088340689033,0.33975397897303844,0.3758032855296947,0.8584627781587578,0.8829268292682927
1,training_rate,0.10380373567325397,0.1245160611292084,0.3629730305047817,0.41538610756150113,0.8620296465222346,0.8829268292682927
1,training_subject_rate,0.1034403852748483,0.12485831370258632,0.36139319085631066,0.41689130985484907,0.874362843729041,0.8829268292682927
2,mixed_logistic,0.11669194999297636,0.11734070466218834,0.4058719119961841,0.4080022175334601,0.854132621573281,0.8685446009389671
2,training_rate,0.11418500297666835,0.11488065924818483,0.3891877726594881,0.39095904358291167,0.8653624856156502,0.8685446009389671
2,training_subject_rate,0.11418089732347933,0.11488728411113855,0.3891706716498762,0.39098883018924513,0.8709982114911695,0.8685446009389671
3,mixed_logistic,0.1486303595906758,0.13321033257127102,0.4816605032176561,0.4395787997709984,0.8758402312339887,0.8222222222222222
3,training_rate,0.14922621508701686,0.13435991836320926,0.48070621221101856,0.44193801206820765,0.8774795799299882,0.8222222222222222
3,training_subject_rate,0.14921103068402464,0.13435015182161544,0.4806356271729595,0.4418926120753898,0.8773420115709835,0.8222222222222222
4,mixed_logistic,0.09585323782797298,0.08812585702361284,0.3357391444730945,0.31826378910818504,0.8572465025245953,0.8923766816143498
4,training_rate,0.09714531423678041,0.08755553880774447,0.346424553420059,0.32228375219013183,0.8591385331781141,0.8923766816143498
4,training_subject_rate,0.09699158832877908,0.08733775247580156,0.34578490678560947,0.3213775290576879,0.861537605696484,0.8923766816143498
5,mixed_logistic,0.1161565001111324,0.10575770961761959,0.40152785574433775,0.37610903097354575,0.8582578384702584,0.8657407407407407
5,training_rate,0.11623380670431428,0.10407779179109859,0.3944043291028927,0.3634127360570311,0.8660508083140878,0.8657407407407407
5,training_subject_rate,0.11623623205137333,0.10403778152785516,0.39441483455252885,0.36323959777753734,0.8673286604361371,0.8657407407407407
