fold,spec,record_brier,subject_brier,record_log_loss,subject_log_loss
1,T_w4_b3,0.09806221905667481,0.11594688828825034,0.33530919448216195,0.37875730151999754
2,T_w4_b3,0.11596867927746743,0.11688708117164776,0.4072718916623369,0.4112045666128448
3,T_w4_b3,0.14893246724511705,0.13325041569968518,0.484150163458133,0.43987541676207254
4,T_w4_b3,0.09159240504353938,0.08382419835834073,0.318132901043879,0.30089067434265
5,T_w4_b3,0.11360291127262537,0.10218406124122618,0.3895277261320378,0.3586539727325266
