fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts
2,q2,step_only,3,model_dependent,0.14566652305951303,0.14763425441047848,54,0,"[29.0780592777865, 31.145124715]","[25.0, 25.0, 25.0]","[32, 71, 110]"
2,q2,step_only,4,model_dependent,0.14566652305951303,0.14763425441047848,54,0,"[29.0780592777865, 30.68221255328655, 33.48942369335015]","[25.0, 25.0, 25.0, 25.0]","[32, 63, 69, 49]"
2,q2,low_delay,1,model_dependent,0.2094714273942637,0.21586521574690387,54,0,[],[12.857142857142858],[213]
2,q2,low_delay,3,model_dependent,0.1985323269175401,0.20305763681342645,54,0,"[28.9759443680863, 32.38715388355615]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 108, 80]"
2,q2,low_delay,4,model_dependent,0.1985323269175401,0.20305763681342645,54,0,"[28.9759443680863, 29.66606058, 32.38715388355615]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 25, 83, 80]"
2,q2,medium_delay,1,model_dependent,0.23730479282657754,0.24375753369170886,54,0,[],[12.714285714285714],[213]
2,q2,medium_delay,3,model_dependent,0.23595058333078187,0.24265504167745797,54,0,"[30.267515586117298, 31.30462428941985]","[11.0, 11.857142857142858, 12.857142857142858]","[75, 34, 104]"
2,q2,medium_delay,4,model_dependent,0.2359446805761012,0.24264705204095904,54,0,"[29.99940893, 30.521331102512548, 31.59542261169325]","[11.0, 11.428571428571429, 12.142857142857142, 12.857142857142858]","[62, 27, 25, 99]"
2,q2,high_delay,1,model_dependent,0.23888773669648872,0.24603094973458764,54,0,[],[11.0],[213]
2,q2,high_delay,3,model_dependent,0.23888773669648872,0.24603094973458764,54,0,"[29.130029079670052, 29.89542649103325]","[11.0, 11.0, 11.0]","[34, 26, 153]"
2,q2,high_delay,4,model_dependent,0.2388877366964887,0.24603094973458764,54,0,"[29.426998765243248, 31.835775192944702, 33.20719191798945]","[11.0, 11.0, 11.0, 11.0]","[44, 77, 34, 58]"
2,q3_basic,step_only,1,model_dependent,0.14530210589360482,0.14525520297739825,54,0,[],[25.0],[213]
2,q3_basic,step_only,3,model_dependent,0.1453021058936048,0.14525520297739825,54,0,"[29.05951596, 29.80803022604035]","[25.0, 25.0, 25.0]","[31, 27, 155]"
2,q3_basic,step_only,4,model_dependent,0.1453021058936048,0.14525520297739825,54,0,"[29.172108809999997, 30.7981037518733, 33.51725612668065]","[25.0, 25.0, 25.0, 25.0]","[38, 60, 67, 48]"
2,q3_basic,low_delay,1,model_dependent,0.20979585417032898,0.21170199822019065,54,0,[],[12.857142857142858],[213]
2,q3_basic,low_delay,3,model_dependent,0.19831634765152556,0.20166616761868136,54,0,"[28.9759443680863, 31.835775192944702]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 96, 92]"
2,q3_basic,low_delay,4,model_dependent,0.19831634765152556,0.20166616761868136,54,0,"[28.9759443680863, 30.2187791664552, 31.835775192944702]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 49, 47, 92]"
2,q3_basic,medium_delay,1,model_dependent,0.23765049979649494,0.23959404581578939,54,0,[],[12.714285714285714],[213]
2,q3_basic,medium_delay,3,model_dependent,0.2364103011789211,0.23868610474173618,54,0,"[29.37857702, 31.5045234250675]","[11.0, 11.714285714285714, 12.857142857142858]","[42, 71, 100]"
2,q3_basic,medium_delay,4,model_dependent,0.2364015742982401,0.2386591180465354,54,0,"[29.37857702, 30.102058579967398, 31.5045234250675]","[11.0, 11.428571428571429, 11.857142857142858, 12.857142857142858]","[42, 25, 46, 100]"
2,q3_basic,high_delay,1,model_dependent,0.2395148227820828,0.2419225977104617,54,0,[],[11.0],[213]
2,q3_basic,high_delay,3,model_dependent,0.23951482278208275,0.2419225977104617,54,0,"[29.130029079670052, 30.060693649999997]","[11.0, 11.0, 11.0]","[34, 31, 148]"
2,q3_basic,high_delay,4,model_dependent,0.23951482278208275,0.2419225977104617,54,0,"[29.130029079670052, 29.89542649103325, 30.7309928534174]","[11.0, 11.0, 11.0, 11.0]","[34, 26, 36, 117]"
2,q3_full,step_only,1,model_dependent,0.14542093409490894,0.14415521876804865,54,0,[],[25.0],[213]
2,q3_full,step_only,3,model_dependent,0.14542093409490894,0.14415521876804865,54,0,"[29.172108809999997, 30.90413263054825]","[25.0, 25.0, 25.0]","[38, 62, 113]"
2,q3_full,step_only,4,model_dependent,0.14542093409490894,0.14415521876804865,54,0,"[29.172108809999997, 30.7981037518733, 33.48942369335015]","[25.0, 25.0, 25.0, 25.0]","[38, 60, 66, 49]"
