fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts
5,q3_basic,low_delay,3,model_dependent,0.196201007180158,0.19153991653810445,53,1,"[29.10705821745655, 33.411452741852145]","[12.857142857142858, 12.857142857142858, 25.0]","[30, 132, 52]"
5,q3_basic,low_delay,4,model_dependent,0.196201007180158,0.19153991653810445,53,1,"[28.995840137890752, 29.7859335372407, 33.411452741852145]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 28, 109, 52]"
5,q3_basic,medium_delay,1,model_dependent,0.22740246011878218,0.22469703341482974,53,1,[],[11.0],[214]
5,q3_basic,medium_delay,3,model_dependent,0.22653890353572648,0.22366529488904874,53,1,"[33.411452741852145, 35.00033464]","[11.0, 12.714285714285714, 12.857142857142858]","[162, 27, 25]"
5,q3_basic,medium_delay,4,model_dependent,0.22653890353572648,0.22366529488904874,53,1,"[29.20214229677795, 33.411452741852145, 35.00033464]","[11.0, 11.0, 12.714285714285714, 12.857142857142858]","[36, 126, 27, 25]"
5,q3_basic,high_delay,1,model_dependent,0.22740246011878218,0.22469703341482974,53,1,[],[11.0],[214]
5,q3_basic,high_delay,3,model_dependent,0.22740246011878218,0.22469703341482974,53,1,"[29.20214229677795, 30.3804461322209]","[11.0, 11.0, 11.0]","[36, 38, 140]"
5,q3_basic,high_delay,4,model_dependent,0.22740246011878215,0.22469703341482974,53,1,"[29.20214229677795, 30.46963577, 33.48942369335015]","[11.0, 11.0, 11.0, 11.0]","[36, 46, 82, 50]"
5,q3_full,step_only,1,model_dependent,0.15488916097362962,0.1513759614917977,53,1,[],[25.0],[214]
5,q3_full,step_only,3,model_dependent,0.1547759134472675,0.14900778224760267,53,1,"[29.32178088201715, 30.48501834]","[12.857142857142858, 25.0, 25.0]","[38, 48, 128]"
5,q3_full,step_only,4,model_dependent,0.1547759134472675,0.14900778224760267,53,1,"[29.32178088201715, 30.521331102512548, 32.38715388355615]","[12.857142857142858, 25.0, 25.0, 25.0]","[38, 49, 47, 80]"
5,q3_full,low_delay,1,model_dependent,0.20375109360530197,0.19177606567784228,53,1,[],[12.857142857142858],[214]
5,q3_full,low_delay,3,model_dependent,0.19606980537367705,0.1829488742865794,53,1,"[28.995840137890752, 33.61575142335015]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 140, 49]"
5,q3_full,low_delay,4,model_dependent,0.19606980537367705,0.1829488742865794,53,1,"[29.749820315464298, 32.423729663906755, 33.61575142335015]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[49, 88, 28, 49]"
5,q3_full,medium_delay,1,model_dependent,0.22741246786697342,0.21382904052561952,53,1,[],[11.0],[214]
5,q3_full,medium_delay,3,model_dependent,0.22653799532618257,0.2129020850743851,53,1,"[29.20214229677795, 33.61575142335015]","[11.0, 11.0, 12.857142857142858]","[36, 129, 49]"
5,q3_full,medium_delay,4,model_dependent,0.22653799532618257,0.2129020850743851,53,1,"[29.20214229677795, 30.3804461322209, 33.61575142335015]","[11.0, 11.0, 11.0, 12.857142857142858]","[36, 38, 91, 49]"
5,q3_full,high_delay,1,model_dependent,0.22741246786697342,0.21382904052561952,53,1,[],[11.0],[214]
5,q3_full,high_delay,3,model_dependent,0.2274124678669734,0.21382904052561952,53,1,"[29.20214229677795, 30.406106735]","[11.0, 11.0, 11.0]","[36, 40, 138]"
5,q3_full,high_delay,4,model_dependent,0.2274124678669734,0.21382904052561952,53,1,"[29.20214229677795, 30.46963577, 33.178474848588806]","[11.0, 11.0, 11.0, 11.0]","[36, 46, 73, 59]"
