fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts,effective_groups,merged_cutpoints,merged_weeks,merged_counts,boundary_groups
1,q3_full,low_delay,4,model_dependent,0.1979638503335817,0.2049596812680682,54,1,"[29.006466625, 30.435518495, 33.51725612668065]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[27, 49, 89, 48]",2,[33.51725612668065],"[12.857142857142858, 25.0]","[165, 48]",1
1,q3_full,medium_delay,1,model_dependent,0.2241663240167028,0.2379477357940788,54,1,[],[11.0],[213],1,[],[11.0],[213],1
1,q3_full,medium_delay,3,model_dependent,0.2239113754488287,0.2372039338465465,54,1,"[33.3978292790151, 34.965401695]","[11.0, 11.142857142857142, 12.857142857142858]","[162, 25, 26]",3,"[33.3978292790151, 34.965401695]","[11.0, 11.142857142857142, 12.857142857142858]","[162, 25, 26]",1
1,q3_full,medium_delay,4,model_dependent,0.2239113754488287,0.2372039338465465,54,1,"[29.26591345677795, 33.3978292790151, 34.965401695]","[11.0, 11.0, 11.142857142857142, 12.857142857142858]","[37, 125, 25, 26]",3,"[33.3978292790151, 34.965401695]","[11.0, 11.142857142857142, 12.857142857142858]","[162, 25, 26]",1
1,q3_full,high_delay,1,model_dependent,0.2241663240167028,0.2379477357940788,54,1,[],[11.0],[213],1,[],[11.0],[213],1
1,q3_full,high_delay,3,model_dependent,0.2241663240167028,0.2379477357940788,54,1,"[29.26591345677795, 30.3017749204332]","[11.0, 11.0, 11.0]","[37, 34, 142]",1,[],[11.0],[213],1
1,q3_full,high_delay,4,model_dependent,0.2241663240167028,0.2379477357940788,54,1,"[29.32178088201715, 30.534848816629747, 33.3978292790151]","[11.0, 11.0, 11.0, 11.0]","[38, 47, 77, 51]",1,[],[11.0],[213],1
2,q2,step_only,1,model_dependent,0.145666523059513,0.1476342544104784,54,0,[],[25.0],[213],1,[],[25.0],[213],1
2,q2,step_only,3,model_dependent,0.145666523059513,0.1476342544104784,54,0,"[29.0780592777865, 31.145124715]","[25.0, 25.0, 25.0]","[32, 71, 110]",1,[],[25.0],[213],1
2,q2,step_only,4,model_dependent,0.145666523059513,0.1476342544104784,54,0,"[29.0780592777865, 30.68221255328655, 33.48942369335015]","[25.0, 25.0, 25.0, 25.0]","[32, 63, 69, 49]",1,[],[25.0],[213],1
2,q2,low_delay,1,model_dependent,0.2094714273942637,0.2158652157469038,54,0,[],[12.857142857142858],[213],1,[],[12.857142857142858],[213],0
2,q2,low_delay,3,model_dependent,0.1985323269175401,0.2030576368134264,54,0,"[28.9759443680863, 32.38715388355615]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 108, 80]",2,[32.38715388355615],"[12.857142857142858, 25.0]","[133, 80]",1
2,q2,low_delay,4,model_dependent,0.1985323269175401,0.2030576368134264,54,0,"[28.9759443680863, 29.66606058, 32.38715388355615]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 25, 83, 80]",2,[32.38715388355615],"[12.857142857142858, 25.0]","[133, 80]",1
2,q2,medium_delay,1,model_dependent,0.2373047928265775,0.2437575336917088,54,0,[],[12.714285714285714],[213],1,[],[12.714285714285714],[213],0
2,q2,medium_delay,3,model_dependent,0.2359505833307818,0.2426550416774579,54,0,"[30.267515586117298, 31.30462428941985]","[11.0, 11.857142857142858, 12.857142857142858]","[75, 34, 104]",3,"[30.267515586117298, 31.30462428941985]","[11.0, 11.857142857142858, 12.857142857142858]","[75, 34, 104]",1
2,q2,medium_delay,4,model_dependent,0.2359446805761012,0.242647052040959,54,0,"[29.99940893, 30.521331102512548, 31.59542261169325]","[11.0, 11.428571428571429, 12.142857142857142, 12.857142857142858]","[62, 27, 25, 99]",4,"[29.99940893, 30.521331102512548, 31.59542261169325]","[11.0, 11.428571428571429, 12.142857142857142, 12.857142857142858]","[62, 27, 25, 99]",1
2,q2,high_delay,1,model_dependent,0.2388877366964887,0.2460309497345876,54,0,[],[11.0],[213],1,[],[11.0],[213],1
2,q2,high_delay,3,model_dependent,0.2388877366964887,0.2460309497345876,54,0,"[29.130029079670052, 29.89542649103325]","[11.0, 11.0, 11.0]","[34, 26, 153]",1,[],[11.0],[213],1
2,q2,high_delay,4,model_dependent,0.2388877366964887,0.2460309497345876,54,0,"[29.426998765243248, 31.835775192944702, 33.20719191798945]","[11.0, 11.0, 11.0, 11.0]","[44, 77, 34, 58]",1,[],[11.0],[213],1
2,q3_basic,step_only,1,model_dependent,0.1453021058936048,0.1452552029773982,54,0,[],[25.0],[213],1,[],[25.0],[213],1
2,q3_basic,step_only,3,model_dependent,0.1453021058936048,0.1452552029773982,54,0,"[29.05951596, 29.80803022604035]","[25.0, 25.0, 25.0]","[31, 27, 155]",1,[],[25.0],[213],1
2,q3_basic,step_only,4,model_dependent,0.1453021058936048,0.1452552029773982,54,0,"[29.172108809999997, 30.7981037518733, 33.51725612668065]","[25.0, 25.0, 25.0, 25.0]","[38, 60, 67, 48]",1,[],[25.0],[213],1
2,q3_basic,low_delay,1,model_dependent,0.2097958541703289,0.2117019982201906,54,0,[],[12.857142857142858],[213],1,[],[12.857142857142858],[213],0
2,q3_basic,low_delay,3,model_dependent,0.1983163476515255,0.2016661676186813,54,0,"[28.9759443680863, 31.835775192944702]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 96, 92]",2,[31.835775192944702],"[12.857142857142858, 25.0]","[121, 92]",1
2,q3_basic,low_delay,4,model_dependent,0.1983163476515255,0.2016661676186813,54,0,"[28.9759443680863, 30.2187791664552, 31.835775192944702]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 49, 47, 92]",2,[31.835775192944702],"[12.857142857142858, 25.0]","[121, 92]",1
2,q3_basic,medium_delay,1,model_dependent,0.2376504997964949,0.2395940458157893,54,0,[],[12.714285714285714],[213],1,[],[12.714285714285714],[213],0
2,q3_basic,medium_delay,3,model_dependent,0.2364103011789211,0.2386861047417361,54,0,"[29.37857702, 31.5045234250675]","[11.0, 11.714285714285714, 12.857142857142858]","[42, 71, 100]",3,"[29.37857702, 31.5045234250675]","[11.0, 11.714285714285714, 12.857142857142858]","[42, 71, 100]",1
2,q3_basic,medium_delay,4,model_dependent,0.2364015742982401,0.2386591180465354,54,0,"[29.37857702, 30.102058579967398, 31.5045234250675]","[11.0, 11.428571428571429, 11.857142857142858, 12.857142857142858]","[42, 25, 46, 100]",4,"[29.37857702, 30.102058579967398, 31.5045234250675]","[11.0, 11.428571428571429, 11.857142857142858, 12.857142857142858]","[42, 25, 46, 100]",1
2,q3_basic,high_delay,1,model_dependent,0.2395148227820828,0.2419225977104617,54,0,[],[11.0],[213],1,[],[11.0],[213],1
2,q3_basic,high_delay,3,model_dependent,0.2395148227820827,0.2419225977104617,54,0,"[29.130029079670052, 30.060693649999997]","[11.0, 11.0, 11.0]","[34, 31, 148]",1,[],[11.0],[213],1
2,q3_basic,high_delay,4,model_dependent,0.2395148227820827,0.2419225977104617,54,0,"[29.130029079670052, 29.89542649103325, 30.7309928534174]","[11.0, 11.0, 11.0, 11.0]","[34, 26, 36, 117]",1,[],[11.0],[213],1
