response,spec_col,y_rmse,y_subject_rmse,logit_rmse,logit_subject_rmse
logit,GAMM-add_df3,0.03383931133845201,0.03323757542805952,0.49970020727777276,0.49996430349581017
logit,GAMM-tensor_df3,0.035661407232358,0.034797467860916094,0.4992818869908083,0.4964076786586555
logit,LMM-lin_df0,0.03435283801895124,0.033707674285348814,0.5082769137154399,0.5073510536502898
logit,LMM-quad_df0,0.034352794484242256,0.033687374812623926,0.5074034584318772,0.5059386695403744
identity,LMM-lin_df0,0.033744795480467646,0.0331328133047344,0.5122136417516915,0.5118503764692776
identity,LMM-quad_df0,0.033717153706005476,0.03308667648703786,0.5103797243166637,0.5095121709673127
log,LMM-lin_df0,0.03442900347280449,0.03378179380883786,0.5083354899822689,0.5073740649651912
log,LMM-quad_df0,0.034427144401389456,0.03375989528807823,0.5075468837577481,0.5060422507699658
