term,coef,se,z,p
Intercept,-2.612701778770685,0.029661554551068458,-88.08377774915277,0.0
week_c,0.041068484036414145,0.0030573195577727197,13.432839865235692,0.0
bmi_c,-0.024511491832413565,0.008129983649967904,-3.0149497081104624,0.002570218698143112
week_c:bmi_c,0.0016568234200341407,0.0007743484370422157,2.1396355190729395,0.03238423379960631
I(week_c ** 2),0.0023061592021755284,0.0006530111214079354,3.5315772221509736,0.00041308922720384444
