response,spec_col,y_subject_rmse,logit_subject_rmse
identity,LMM-lin_df0,0.0331328133047344,0.5118503764692776
logit,LMM-lin_df0,0.033707674285348814,0.5073510536502898
log,LMM-lin_df0,0.03378179380883786,0.5073740649651912
identity,LMM-quad_df0,0.03308667648703786,0.5095121709673127
logit,LMM-quad_df0,0.033687374812623926,0.5059386695403744
log,LMM-quad_df0,0.03375989528807823,0.5060422507699658
