target,roc_auc,mcc,sensitivity,specificity,threshold_median,tp,fp,fn,tn,brier,average_precision,baseline_brier,subject_brier,subject_delta_brier,delta_ci_low,delta_ci_high
a13,0.6795906170626027,0.06589414343127883,0.17391304347826086,0.9209621993127147,0.09665130077449323,4,46,19,536,0.03317014842139035,0.19666468886762906,0.03659519855380285,0.03650380369017158,-0.0037495457050253983,-0.009485928500681143,0.00025498365082027584
a18,0.7942754919499107,0.24945831838725102,0.5,0.855098389982111,0.12982764405971803,23,81,23,478,0.06252297270918354,0.29237195942603056,0.07027157271873874,0.06301150903253759,-0.009293734759256772,-0.016852065567225256,-0.0029445788325525297
a21,0.4467255717255717,-0.0039216184753297955,0.15384615384615385,0.8361486486486487,0.1,2,97,11,495,0.02122653927311366,0.030189253006269623,0.021032169136451822,0.023461484613066883,0.00020677054951480137,-0.00015654620700097469,0.0005521273115362678
a_any,0.7710702990623093,0.288270523422001,0.1791044776119403,0.9851301115241635,0.3235365929106311,12,8,55,530,0.08418603911124975,0.3822789495433527,0.09848577497149069,0.08633763493037405,-0.015274099617511729,-0.02575383765181411,-0.00662951937524033
