target,target_sensitivity,threshold_median,sensitivity,specificity,mcc,tp,fp,fn,tn
a13,0.9,0.01991179873614949,0.9130434782608695,0.2611683848797251,0.07648116670525144,21,430,2,152
a18,0.9,0.06049542221108617,0.8478260869565217,0.631484794275492,0.25880211167343237,39,206,7,353
a21,0.9,0.005760388690123195,0.8461538461538461,0.07263513513513513,-0.04487941811579302,11,549,2,43
a_any,0.9,0.05618117784045316,0.8955223880597015,0.4033457249070632,0.19423237637295135,60,321,7,217
