week_low,week_high,rows,subjects,observed_rate,mixed_logistic,training_rate,training_subject_rate
11,13,197,166,0.8375634517766497,0.7985053491598466,0.8664235932426229,0.870468005066947
13,16,333,193,0.9099099099099099,0.8308345497521671,0.8662123712970318,0.8702497591362716
16,20,265,201,0.8113207547169812,0.8750755516969327,0.8658490454610454,0.8704845549915414
20,26,278,153,0.8812949640287769,0.9245318162351485,0.8658694942781155,0.8699235121953399
26,30,9,8,1.0,0.9600564614269216,0.8700195538666593,0.8713690096039488
