fold,spec,status,record_brier,subject_brier,record_log_loss,subject_log_loss,mean_probability,observed_rate
1,week_bmi,ok,0.09805062320713263,0.1134088340689033,0.33975397897303844,0.3758032855296947,0.8584627781587578,0.8829268292682927
1,week_bmi_age,ok,0.09901663723527433,0.11423434126749861,0.3426896376283032,0.37907816148044876,0.855387095605817,0.8829268292682927
1,week_bmi_age_conception,ok,0.09923521858545269,0.11457954162918434,0.3433660125412555,0.38015536113501225,0.8554494037192953,0.8829268292682927
2,week_bmi,ok,0.11669194999297636,0.11734070466218834,0.4058719119961841,0.4080022175334601,0.854132621573281,0.8685446009389671
2,week_bmi_age,ok,0.11669780923807462,0.11725419931529485,0.4064217270009498,0.4079970912180123,0.856311491342434,0.8685446009389671
2,week_bmi_age_conception,ok,0.11666348659963223,0.1172218402479128,0.4063913971868323,0.4079774282356953,0.856644421645701,0.8685446009389671
3,week_bmi,ok,0.1486303595906758,0.13321033257127102,0.4816605032176561,0.4395787997709984,0.8758402312339887,0.8222222222222222
3,week_bmi_age,ok,0.14984814312382058,0.1343009635692073,0.4869047921687524,0.44425111546418,0.8758948704000644,0.8222222222222222
3,week_bmi_age_conception,ok,0.15258165048874928,0.13665775457401624,0.7868804910111306,0.6991051860331162,0.8762407271794597,0.8222222222222222
4,week_bmi,ok,0.09585323782797298,0.08812585702361284,0.3357391444730945,0.31826378910818504,0.8572465025245953,0.8923766816143498
4,week_bmi_age,ok,0.09568197017827788,0.08823451452424892,0.3338475026796328,0.3170309239736859,0.8571065368638546,0.8923766816143498
4,week_bmi_age_conception,ok,0.09585818038624305,0.08830451384652133,0.3348216800180331,0.31762848541979743,0.8570587528421073,0.8923766816143498
5,week_bmi,ok,0.1161565001111324,0.10575770961761959,0.40152785574433775,0.37610903097354575,0.8582578384702584,0.8657407407407407
5,week_bmi_age,ok,0.11791146274707603,0.10818415254278925,0.40460898228425474,0.381321712758023,0.8599634589693282,0.8657407407407407
5,week_bmi_age_conception,ok,0.1181567222007611,0.10837300536187502,0.4059841579233702,0.38251020409238706,0.8596442006537878,0.8657407407407407
